taxa,H,Y,T,O
Consolida_persica,0,0,0,1
Consolida_flava,0,0,0,1
Consolida_camptocarpa,0,0,0,1
Consolida_songorica,0,0,0,1
Consolida_aucheri,0,0,0,1
Consolida_leptocarpa,0,0,0,1
Consolida_kandaharica,0,0,0,1
Consolida_rugulosa,0,0,0,1
Consolida_kabuliana,0,0,0,1
Consolida_stocksiana,0,0,0,1
Aconitella_saccata,0,0,0,1
Aconitella_stenocarpa,0,0,0,1
Aconitella_aconiti,0,0,0,1
Aconitella_thirkeana,0,0,0,1
Aconitella_anthoroidea,0,0,0,1
Aconitella_scleroclada,0,0,0,1
Aconitella_hohenackeri,0,0,0,1
Aconitella_barbata,0,0,0,1
Consolida_hellespontica,0,0,0,1
Consolida_glandulosa,0,0,0,1
Consolida_pubescens,0,0,0,1
Consolida_mauritanica,0,0,0,1
Consolida_regalis,0,0,0,1
Consolida_tenuissima,0,0,0,1
Consolida_paniculata,0,0,0,1
Consolida_divaricata,0,0,0,1
Consolida_brevicornis,0,0,0,1
Consolida_ambigua,0,0,0,1
Consolida_ajacis,0,0,0,1
Consolida_raveyi,0,0,0,1
Consolida_orientalis,0,0,0,1
Consolida_hispanica,0,0,0,1
Consolida_incana,0,0,0,1
Consolida_oliveriana,0,0,0,1
Consolida_axilliflora,0,0,0,1
Delphinium_spirocentrum,1,0,0,0
Delphinium_glaucescens,0,0,0,1
Delphinium_viridescens,0,0,0,1
Delphinium_stachydeum,0,0,0,1
Delphinium_gracilentum,0,0,0,1
Delphinium_inopinum,0,0,0,1
Delphinium_glaucum,0,0,0,1
Delphinium_nuttallii,0,0,0,1
Delphinium_xantholeucum,0,0,0,1
Delphinium_glareosum,0,0,0,1
Delphinium_sutherlandii,0,0,0,1
Delphinium_bicolor,0,0,0,1
Delphinium_andersonii,0,0,0,1
Delphinium_depauperatum,0,0,0,1
Delphinium_nuttallianum,0,0,0,1
Delphinium_lineapetalum,0,0,0,1
Delphinium_menziesii,0,0,0,1
Delphinium_geyeri,0,0,0,1
Delphinium_barbeyi,0,0,0,1
Delphinium_variegatum,0,0,0,1
Delphinium_scaposum,0,0,0,1
Delphinium_hutchinsoniae,0,0,0,1
Delphinium_californicum,0,0,0,1
Delphinium_patens,0,0,0,1
Delphinium_nudicaule,0,0,0,1
Delphinium_bakeri,0,0,0,1
Delphinium_antoninum,0,0,0,1
Delphinium_trolliifolium,0,0,0,1
Delphinium_decorum,0,0,0,1
Delphinium_luteum,0,0,0,1
Delphinium_geraniifolium,0,0,0,1
Delphinium_andesicola,0,0,0,1
Delphinium_ulignosum,0,0,0,1
Delphinium_hesperium,0,0,0,1
Delphinium_hansenii,0,0,0,1
Delphinium_cardinale,0,0,0,1
Delphinium_parishii,0,0,0,1
Delphinium_parryi,0,0,0,1
Delphinium_recurvatum,0,0,0,1
Delphinium_gypsophilum,0,0,0,1
Delphinium_polycladon,0,0,0,1
Delphinium_beesianum,1,0,0,0
Delphinium_exaltatum,0,0,0,1
Delphinium_calcar-equitis,0,0,0,1
Delphinium_subscandens,0,0,0,1
Delphinium_viride,0,0,0,1
Delphinium_bicornutum,0,0,0,1
Delphinium_wislizeni,0,0,0,1
Delphinium_distichum,0,0,0,1
Delphinium_multiplex,0,0,0,1
Delphinium_newtonianum,0,0,0,1
Delphinium_umbraculorum,0,0,0,1
Delphinium_carolinianum,0,0,0,1
Delphinium_madrense,0,0,0,1
Delphinium_wootonii,0,0,0,1
Delphinium_oxysepalum,0,0,0,1
Delphinium_cuneatum,0,0,0,1
Delphinium_bulleyanum,1,0,0,0
Delphinium_dubium,0,0,0,1
Delphinium_montanum,0,0,0,1
Delphinium_elatum,0,0,0,1
Delphinium_carduchorum,0,0,0,1
Delphinium_cyphoplectrum,0,0,0,1
Delphinium_aquilegifolium,0,0,0,1
Delphinium_tuberosum,0,0,0,1
Delphinium_kohatense,0,0,0,1
Delphinium_alabamicum,0,0,0,1
Delphinium_leroyi,0,0,0,1
Delphinium_incisum,0,1,0,0
Delphinium_macrocentrum,0,0,0,1
Delphinium_tricorne,0,0,0,1
Delphinium_dasycaulon,0,0,0,1
Delphinium_kurdicum,0,0,0,1
Delphinium_fissum,0,0,0,1
Delphinium_macrostachyum,0,0,0,1
Delphinium_freynii,0,0,0,1
Delphinium_emarginatum,0,0,0,1
Delphinium_sylvaticum,0,0,0,1
Delphinium_pentagynum,0,0,0,1
Delphinium_treleasei,0,0,0,1
Delphinium_albocoeruleum,1,0,1,0
Delphinium_biternatum,0,0,0,1
Delphinium_denudatum,0,1,0,0
Delphinium_ramosum,0,0,0,1
Delphinium_griseum,0,0,0,1
Delphinium_alpestre,0,0,0,1
Delphinium_sapellonis,0,0,0,1
Delphinium_novomexicanum,0,0,0,1
Delphinium_suave,0,0,0,1
Delphinium_saniculifolium,0,0,0,1
Delphinium_valens,0,0,0,1
Delphinium_wendelboi,0,0,0,1
Delphinium_semibarbatum,0,0,0,1
Delphinium_purpusii,0,0,0,1
Delphinium_pachycentrum,1,0,0,0
Delphinium_tatsienense,1,0,1,0
