taxa	A	a
Consolida_persica	0	1
Consolida_flava	0	1
Consolida_camptocarpa	0	1
Consolida_songorica	0	1
Consolida_aucheri	0	1
Consolida_leptocarpa	0	1
Consolida_kandaharica	0	1
Consolida_rugulosa	0	1
Consolida_kabuliana	0	1
Consolida_stocksiana	0	1
Aconitella_saccata	0	1
Aconitella_stenocarpa	0	1
Aconitella_aconiti	0	1
Aconitella_thirkeana	0	1
Aconitella_anthoroidea	0	1
Aconitella_scleroclada	0	1
Aconitella_hohenackeri	0	1
Aconitella_barbata	0	1
Consolida_hellespontica	0	1
Consolida_glandulosa	0	1
Consolida_pubescens	0	1
Consolida_mauritanica	0	1
Consolida_regalis	0	1
Consolida_tenuissima	0	1
Consolida_paniculata	0	1
Consolida_divaricata	0	1
Consolida_brevicornis	0	1
Consolida_ambigua	0	1
Consolida_ajacis	0	1
Consolida_raveyi	0	1
Consolida_orientalis	0	1
Consolida_hispanica	0	1
Consolida_incana	0	1
Consolida_oliveriana	0	1
Consolida_axilliflora	0	1
Delphinium_spirocentrum	0	1
Delphinium_glaucescens	0	1
Delphinium_viridescens	0	1
Delphinium_stachydeum	0	1
Delphinium_gracilentum	0	1
Delphinium_inopinum	0	1
Delphinium_glaucum	0	1
Delphinium_nuttallii	0	1
Delphinium_xantholeucum	0	1
Delphinium_glareosum	1	1
Delphinium_sutherlandii	0	1
Delphinium_bicolor	0	1
Delphinium_andersonii	0	1
Delphinium_depauperatum	0	1
Delphinium_nuttallianum	0	1
Delphinium_lineapetalum	0	1
Delphinium_menziesii	0	1
Delphinium_geyeri	0	1
Delphinium_barbeyi	1	1
Delphinium_variegatum	0	1
Delphinium_scaposum	0	1
Delphinium_hutchinsoniae	0	1
Delphinium_californicum	0	1
Delphinium_patens	0	1
Delphinium_nudicaule	0	1
Delphinium_bakeri	0	1
Delphinium_antoninum	0	1
Delphinium_trolliifolium	0	1
Delphinium_decorum	0	1
Delphinium_luteum	0	1
Delphinium_geraniifolium	0	1
Delphinium_andesicola	0	1
Delphinium_ulignosum	0	1
Delphinium_hesperium	0	1
Delphinium_hansenii	0	1
Delphinium_cardinale	0	1
Delphinium_parishii	0	1
Delphinium_parryi	0	1
Delphinium_recurvatum	0	1
Delphinium_gypsophilum	0	1
Delphinium_polycladon	0	1
Delphinium_beesianum	1	1
Delphinium_exaltatum	0	1
Delphinium_calcar-equitis	0	1
Delphinium_subscandens	1	1
Delphinium_viride	0	1
Delphinium_bicornutum	0	1
Delphinium_wislizeni	0	1
Delphinium_distichum	0	1
Delphinium_multiplex	0	1
Delphinium_newtonianum	0	1
Delphinium_umbraculorum	0	1
Delphinium_carolinianum	0	1
Delphinium_madrense	0	1
Delphinium_wootonii	0	1
Delphinium_oxysepalum	0	1
Delphinium_cuneatum	0	1
Delphinium_bulleyanum	0	1
Delphinium_dubium	0	1
Delphinium_montanum	0	1
Delphinium_elatum	0	1
Delphinium_carduchorum	0	1
Delphinium_cyphoplectrum	0	1
Delphinium_aquilegifolium	0	1
Delphinium_tuberosum	1	1
Delphinium_kohatense	0	1
Delphinium_alabamicum	0	1
Delphinium_leroyi	0	1
Delphinium_incisum	0	1
Delphinium_macrocentrum	1	1
Delphinium_tricorne	0	1
Delphinium_dasycaulon	0	1
Delphinium_kurdicum	0	1
Delphinium_fissum	0	1
Delphinium_macrostachyum	0	1
Delphinium_freynii	0	1
Delphinium_emarginatum	0	1
Delphinium_sylvaticum	0	1
Delphinium_pentagynum	0	1
Delphinium_treleasei	0	1
Delphinium_albocoeruleum	0	1
Delphinium_biternatum	0	1
Delphinium_denudatum	0	1
Delphinium_ramosum	0	1
Delphinium_griseum	0	1
Delphinium_alpestre	1	0
Delphinium_sapellonis	0	1
Delphinium_novomexicanum	0	1
Delphinium_suave	1	1
Delphinium_saniculifolium	0	1
Delphinium_valens	1	1
Delphinium_wendelboi	0	1
Delphinium_semibarbatum	0	1
Delphinium_purpusii	0	1
Delphinium_pachycentrum	1	0
Delphinium_tatsienense	0	1
Delphinium_middendorffii	0	1
Delphinium_kamaonense	0	1
Delphinium_grandiflorum	0	1
Delphinium_forrestii	1	1
Delphinium_viscosum	0	1
Delphinium_trichophorum	1	1
Delphinium_oxycentrum	1	1
Delphinium_thibeticum	0	1
Delphinium_sutchuenense	0	1
Delphinium_pycnocentrum	0	1
Delphinium_dolichocentroides	0	1
Delphinium_taliense	0	1
Delphinium_pseudohamatum	0	1
Delphinium_orthocentrum	0	1
Delphinium_chrysotrichum	1	1
Delphinium_ceratophorum	0	1
Delphinium_brachycentrum	1	0
Delphinium_kansuense	0	1
Delphinium_sparsiflorum	0	1
Delphinium_cheilanthum	0	1
Delphinium_batangense	1	1
Delphinium_crispulum	1	1
Delphinium_dolichostachyum	0	1
Delphinium_flexuosum	0	1
Delphinium_elbursense	0	1
Delphinium_afghanicum	1	1
Delphinium_oreophilum	1	1
Delphinium_cashmerianum	1	1
Delphinium_minjanense	1	0
Delphinium_naviculare	0	1
Delphinium_tianshanicum	0	1
Delphinium_pyramidale	0	1
Delphinium_muscosum	1	0
Delphinium_muliense	0	1
Delphinium_smithianum	1	1
Delphinium_maackianum	0	1
Delphinium_crassifolium	0	1
Delphinium_gyalanum	1	1
Delphinium_tangkulaense	1	0
Delphinium_bonvalotii	0	1
Delphinium_tongolense	0	1
Delphinium_glaciale	0	1
Delphinium_pylzowii	1	1
Delphinium_delavayi	0	1
Delphinium_potaninii	0	1
Delphinium_caeruleum	1	1
Delphinium_omeiense	0	1
Delphinium_anthriscifolium	0	1
Delphinium_venulosum	0	1
Delphinium_cossonianum	0	1
Delphinium_nanum	0	1
Delphinium_obcordatum	0	1
Delphinium_peregrinum	0	1
Delphinium_halteratum	0	1
Delphinium_balcanicum	0	1
Delphinium_hirschfeldianum	0	1
Delphinium_virgatum	0	1
Delphinium_gracile	0	1
Delphinium_balansae	0	1
Delphinium_verdunense	0	1
Delphinium_favargeri	0	1
Delphinium_macropetalum	0	1
Aconitum_crassiflorum	0	1
Aconitum_chrysotrichum	1	0
Aconitum_scaposum	0	1
Aconitum_heterophyllum	0	1
Aconitum_sinomontanum	0	1
Aconitum_monticola	0	1
Aconitum_kusnezoffii	0	1
Aconitum_lycoctonum	0	1
Aconitum_lasiostomum	0	1
Aconitum_orientale	0	1
Aconitum_septentrionale	0	1
Aconitum_moldavicum	0	1
Aconitum_shennongjiaense	0	1
Aconitum_angustius	0	1
Aconitum_finetianum	0	1
Aconitum_longecassidatum	0	1
Aconitum_alboviolaceum	0	1
Aconitum_gigas	0	1
Aconitum_umbrosum	0	1
Aconitum_barbatum	0	1
Aconitum_senanense	1	1
Aconitum_kitadakense	0	1
Aconitum_villosum	0	1
Aconitum_napiforme	0	1
Aconitum_bartlettii	0	1
Aconitum_jaluense	0	1
Aconitum_lucidusculum	0	1
Aconitum_sachalinense	0	1
Aconitum_misaoanum	0	1
Aconitum_hakusanense	0	1
Aconitum_ciliare	0	1
Aconitum_japonicum	0	1
Aconitum_volubile	0	1
Aconitum_carmichaelii	0	1
Aconitum_ludlowii	1	1
Aconitum_richardsonianum	1	1
Aconitum_sessiliflorum	1	1
Aconitum_flavum	0	1
Aconitum_pulchellum	1	1
Aconitum_nagarum	0	1
Aconitum_liangshanicum	0	1
Aconitum_hamatipetalum	1	0
Aconitum_brachypodum	0	1
Aconitum_huiliense	0	1
Aconitum_pendulum	1	1
Aconitum_tsaii	0	1
Aconitum_talassicum	0	1
Aconitum_nasutum	0	1
Aconitum_karakolicum	0	1
Aconitum_decipiens	0	1
Aconitum_nemorum	0	1
Aconitum_ferox	0	1
Aconitum_baicalense	0	1
Aconitum_delphiniifolium	1	1
Aconitum_cannabifolium	0	1
Aconitum_monanthum	0	1
Aconitum_iide-montanum	0	1
Aconitum_sanyoense	0	1
Aconitum_chiisanense	0	1
Aconitum_apoiense	0	1
Aconitum_yamazakii	0	1
Aconitum_yuparense	0	1
Aconitum_pascoi	0	1
Aconitum_superbum	0	1
Aconitum_degenii	0	1
Aconitum_bucovinense	1	1
Aconitum_plicatum	0	1
Aconitum_napellus	1	1
Aconitum_toxicum	0	1
Aconitum_variegatum	0	1
Aconitum_lasiocarpum	0	1
Aconitum_firmum	1	1
Aconitum_cammarum	0	1
Aconitum_nanum	0	1
Aconitum_pentheri	0	1
Aconitum_refractum	0	1
Aconitum_georgei	0	1
Aconitum_chienningense	0	1
Aconitum_kongboense	0	1
Aconitum_stapfianum	0	1
Aconitum_delavayi	0	1
Aconitum_fengii	1	1
Aconitum_tongolense	1	1
Aconitum_pilopetalum	1	0
Aconitum_contortum	0	1
Aconitum_bulleyanum	0	1
Aconitum_forrestii	0	1
Aconitum_transsectum	0	1
Aconitum_vilmorinianum	0	1
Aconitum_legendrei	0	1
Aconitum_bulbilliferum	0	1
Aconitum_episcopale	0	1
Aconitum_piepunense	0	1
Aconitum_tuguancunense	0	1
Aconitum_rockii	1	1
Aconitum_liljestrandii	1	1
Aconitum_tatsienense	0	1
Aconitum_hemsleyanum	0	1
Aconitum_franchetii	0	1
Aconitum_henryi	0	1
Aconitum_sungpanense	0	1
Aconitum_campylorrhynchum	0	1
Aconitum_spiripetalum	1	1
Aconitum_brunneum	0	1
Aconitum_zeravschanicum	1	1
Aconitum_racemulosum	0	1
Aconitum_polycarpum	1	0
Aconitum_tanguticum	0	1
Aconitum_naviculare	1	1
Staphisagria_picta	0	1
Staphisagria_macrosperma	0	1
Staphisagria_requienii	0	1
Aconitum_artemisiifolium	0	1
Consolida_uechtritziana	0	1
