taxa,H,Y,T,O
Saxifraga_stolonifera,0,0,0,1
Saxifraga_trabutiana,0,0,0,1
Saxifraga_erioblasta,0,0,0,1
Saxifraga_rigoi,0,0,0,1
Saxifraga_canaliculata,0,0,0,1
Saxifraga_camposii,0,0,0,1
Saxifraga_trifurcata,0,0,0,1
Saxifraga_babiana,0,0,0,1
Saxifraga_cuneata,0,0,0,1
Saxifraga_hypnoides,0,0,0,1
Saxifraga_fragosoi,0,0,0,1
Saxifraga_bulbifera,0,0,0,1
Saxifraga_dichotoma,0,0,0,1
Saxifraga_latepetiolata,0,0,0,1
Saxifraga_graeca,0,0,0,1
Saxifraga_sedoides,0,0,0,1
Saxifraga_rosacea,0,0,0,1
Saxifraga_cespitosa,0,0,0,1
Saxifraga_granulata,0,0,0,1
Saxifraga_cintrana,0,0,0,1
Saxifraga_gemmulosa,0,0,0,1
Saxifraga_aquatica,0,0,0,1
Saxifraga_exarata,0,0,0,1
Saxifraga_cebennensis,0,0,0,1
Saxifraga_fragilis,0,0,0,1
Saxifraga_hariotii,0,0,0,1
Saxifraga_praetermissa,0,0,0,1
Saxifraga_pubescens,0,0,0,1
Saxifraga_vayredana,0,0,0,1
Saxifraga_pentadactylis,0,0,0,1
Saxifraga_nevadensis,0,0,0,1
Saxifraga_biternata,0,0,0,1
Saxifraga_reuteriana,0,0,0,1
Saxifraga_globulifera,0,0,0,1
Saxifraga_conifera,0,0,0,1
Saxifraga_arachnoidea,0,0,0,1
Saxifraga_aphylla,0,0,0,1
Saxifraga_tridactylites,0,0,0,1
Saxifraga_androsacea,0,0,0,1
Saxifraga_depressa,0,0,0,1
Saxifraga_florulenta,0,0,0,1
Saxifraga_aizoides,0,0,0,1
Saxifraga_mutata,0,0,0,1
Saxifraga_caesia,0,0,0,1
Saxifraga_afghanica,0,1,1,0
Saxifraga_squarrosa,0,0,0,1
Saxifraga_biflora,0,0,0,1
Saxifraga_pulvinaria,1,1,1,0
Saxifraga_oppositifolia,0,0,1,1
Saxifraga_spathularis,0,0,0,1
Saxifraga_hostii,0,0,0,1
Saxifraga_paniculata,0,0,0,1
Saxifraga_cuneifolia,0,0,0,1
Saxifraga_rotundifolia,0,0,0,1
Saxifraga_cochlearis,0,0,0,1
Saxifraga_hirsuta,0,0,0,1
Saxifraga_aspera,0,0,0,1
Saxifraga_bryoides,0,0,0,1
Saxifraga_hyperborea,0,0,0,1
Saxifraga_cernua,1,0,1,1
Saxifraga_sibirica,1,1,1,1
Saxifraga_wallichiana,1,1,0,0
Saxifraga_brachypoda,1,1,0,1
Saxifraga_brunonis,1,1,0,0
Saxifraga_setigera,0,0,0,1
Saxifraga_flagellaris,0,0,0,1
Saxifraga_nangxianensis,0,0,1,0
Saxifraga_consanguinea,1,1,1,0
Saxifraga_hispidula,1,1,0,1
Saxifraga_strigosa,1,1,0,0
Saxifraga_gemmipara,1,0,0,0
Saxifraga_balfourii,1,0,0,0
Saxifraga_sinomontana,1,1,1,0
Saxifraga_tangutica,1,1,1,0
Saxifraga_hookeri,0,1,0,0
Saxifraga_isophylla,1,0,0,0
Saxifraga_xiaozhongdianensis,1,0,0,0
Saxifraga_egregia,1,0,1,0
Saxifraga_insolens,1,0,0,0
Saxifraga_diversifolia,1,1,0,0
Saxifraga_peplidifolia,1,0,0,0
Saxifraga_pseudohirculus,1,0,1,0
Saxifraga_hirculus,1,0,1,1
Saxifraga_kingiana,0,1,0,0
Saxifraga_sanguinea,1,0,1,0
Saxifraga_serpyllifolia,0,0,0,1
Saxifraga_gemmigera,1,0,0,1
Saxifraga_tatsienluensis,1,0,0,0
Saxifraga_unguiculata,1,0,1,1
Saxifraga_punctulata,0,1,0,0
Saxifraga_dingqingensis,0,0,1,0
Saxifraga_umbellulata,1,1,1,0
Saxifraga_hederacea,0,0,0,1
Saxifraga_rebunshirensis,0,0,0,1
Saxifraga_bronchialis,0,0,0,1
Saxifraga_funstonii,0,0,0,1
Saxifraga_cherlerioides,0,0,0,1
Saxifraga_tricuspidata,0,0,0,1
Saxifraga_taylorii,0,0,0,1
Saxifraga_losae,0,0,0,1
Saxifraga_mertensiana,0,0,0,1
Saxifraga_fortunei,0,0,0,1
Saxifraga_cotyledon,0,0,0,1
Saxifraga_cacuminum,1,0,0,0
Saxifraga_parkaensis,0,0,1,0
Saxifraga_yezhiensis,1,0,0,0
Saxifraga_yarlungzangboensis,0,1,1,0
Saxifraga_wenchuanensis,1,0,0,0
Saxifraga_wardii,1,0,0,0
Saxifraga_wahlenbergii,0,0,0,1
Saxifraga_versicallosa,1,0,0,0
Saxifraga_vandellii,0,0,0,1
Saxifraga_valdensis,0,0,0,1
Saxifraga_unguipetala,0,0,1,1
Saxifraga_umbrosa,0,0,0,1
Saxifraga_tsangchanensis,1,0,0,0
Saxifraga_triaristulata,1,0,0,0
Saxifraga_tombeanensis,0,0,0,1
Saxifraga_tibetica,0,0,1,0
Saxifraga_tenella,0,0,0,1
Saxifraga_taygetea,0,0,0,1
Saxifraga_substrigosa,1,1,1,0
Saxifraga_subsessiliflora,1,1,1,0
Saxifraga_subaequifoliata,1,0,0,0
Saxifraga_stribrnyi,0,0,0,1
Saxifraga_stellerana,0,0,0,1
Saxifraga_stella_aurea,1,1,1,0
Saxifraga_sphaeradena,0,1,0,0
Saxifraga_signatella,0,1,1,0
Saxifraga_signata,1,0,0,0
Saxifraga_sibthorpii,0,0,0,1
Saxifraga_sempervivum,0,0,0,1
Saxifraga_sediformis,1,0,0,0
Saxifraga_scardica,0,0,0,1
Saxifraga_sancta,0,0,0,1
Saxifraga_saginoides,0,1,0,0
Saxifraga_rufescens,1,0,0,1
Saxifraga_rivularis,0,0,0,1
Saxifraga_retusa,0,0,0,1
Saxifraga_repanda,0,0,0,1
Saxifraga_punctulatoides,0,1,0,0
Saxifraga_pulchra,1,0,0,0
Saxifraga_przewalskii,1,0,1,0
Saxifraga_presolanensis,0,0,0,1
Saxifraga_prattii,1,0,0,0
Saxifraga_perpusilla,1,1,0,0
Saxifraga_pedemontana,0,0,0,1
Saxifraga_parva,0,1,1,0
Saxifraga_parnassifolia,0,1,0,1
Saxifraga_osloensis,0,0,0,1
Saxifraga_oreophila,1,0,0,0
Saxifraga_omphalodifolia,1,0,0,0
